,ad_id,cumulative_roas_actual,cumulative_roas_predicted,MAE,RMSE
0,120203732424570410,4.984912572623042,4.5005984,0.3490816624857768,0.43197937184300933
1,120203732425470410,3.3094016643947493,5.165411,0.448345065024111,0.5743276317953103
2,120203767830350410,3.0350922310167596,4.4754286,0.377013212289681,0.5316090483914824
3,120203767830570410,4.6056906768285675,2.4417267,0.5605823315602395,0.9661871545131854
4,120203767830810410,2.7863894060995364,2.9265153,0.35323261840092324,0.40983819024131085
5,120203767831190410,2.180064393260336,4.0095687,0.28477694357336353,0.32228043660369143
6,120203767836830410,3.9513950549228167,5.0504694,0.353262922446377,0.385824240661665
7,120203767837550410,3.406714936538367,2.216897,0.16719717822342264,0.26264822737100746
8,120203767837800410,0.8537640685671986,1.5931122,0.2854074814322192,0.2892053497932582
9,120203894749970410,5.466263709659679,4.9591956,0.21806247944875928,0.28860546287297906
10,120203894749990410,2.9907499314155404,3.376205,0.3603663191973774,0.47445692142604495
11,120203894754040410,4.62518219715495,4.260828,0.4161806384308729,0.6104321714812443
12,120203894762250410,3.541502011604473,4.763627,0.2239217514886141,0.29112824809662036
13,120203894762270410,2.4710170881856746,3.200517,0.17638125361796658,0.1891485541628276
14,120203894778090410,6.039517247048863,6.022295,0.37437779540744565,0.4390856431293084
15,120203919081610410,4.395170417738719,5.2962995,0.24026934751405943,0.29718106192856675
16,120203919082490410,2.8948919919483354,2.7699811,0.3697617430959312,0.4227167629027114
17,120203919090900410,2.6386068431934278,2.855177,0.122607950027691,0.13363358070706086
18,120203919112860410,2.4634364383879643,3.3646786,0.20942105092428123,0.27476107704379665
19,120203919168020410,1.9180316390843601,2.1271868,0.08868817528471791,0.09714957938076937
20,120203946780820410,3.6457613894045866,2.9496639,0.20165916841958528,0.2307711231351513
21,120203946784240410,4.107185410309691,3.7082686,0.3915014518009101,0.4511294470045144
22,120203946785040410,6.241005610704268,3.8334124,0.482595480122525,0.5717801420356265
23,120203946785050410,1.6156830331189425,3.177356,0.24257664125005288,0.2991132296266039
24,120203946810800410,2.4140090421539964,2.8319888,0.16117319935389846,0.20147705935412477
25,120203946812840410,2.57935530726062,3.0899835,0.11886902571783808,0.13577136703080803
26,120203946836470410,3.0817502953316787,3.7514691,0.16977375420018223,0.22779792819084757
27,120203979461140410,3.9414554943903415,3.7460878,0.33697149919564995,0.38991580603390763
28,120203979465420410,6.171544031188294,5.353545,0.237632819095625,0.2876654389359326
29,120203979465700410,3.5173386728089557,3.1112618,0.25528691335943565,0.317555268649182
30,120203979493050410,3.37636494955447,3.6528606,0.30908050490502054,0.34255134720269487
31,120204216460140410,3.418234631233931,4.093295,0.1408586639076583,0.18381286029876587
32,120204216465640410,4.929362042376478,4.6654654,0.137334539787652,0.15725115714028823
33,120204217159920410,3.698582089557867,3.7756076,0.1861288119797953,0.2537449374377842
34,120204217172420410,3.254230915176559,3.0784874,0.14496021837859585,0.17085866060536808
35,120204217172770410,3.431549108758425,3.4719622,0.10049382898049128,0.11825957018818606
36,120204217173140410,1.237877531646343,2.845313,0.29266782818827924,0.3760411702687387
37,120204217906360410,3.8800673731736035,4.4671173,0.15367949125631045,0.173800862459313
38,120204217914670410,3.842176058815093,4.777611,0.19356463616023342,0.2542706603720062
39,120204222481350410,3.3448503612653764,3.6746552,0.14480082458988955,0.18098867991583634
40,120204222481760410,4.567768249181597,3.7996006,0.16617638253830397,0.23817120920227686
41,120204222481880410,2.599146962355289,3.084477,0.17435446988693512,0.21252123990689156
42,120204222482270410,4.626051074841082,4.45106,0.2349765454950381,0.25126142980654
43,120204222484630410,2.603656557268721,2.9924655,0.13002462176572663,0.1520292522034676
