eventdate,buyer_initials,fb_created,campaign_end_date,campaign_duration,buyer_name,account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,job_type,first_budget,fb_clicks_all,fb_impressions,fb_leads,fb_link_click,fb_spend,rev_clicks,gross_revenue,net_revenue,buy_side_ctr,roas,rpc,buy_side_cpm,cpc,rpp,cpp,contrib,budget_type,status,countries,age_max,age_min,facebook_positions,locales,"network_[""facebook"",""instagram""]","network_[""facebook""]","devices_[""mobile"",""desktop""]","devices_[""mobile""]",budget,pause_campaign,extend_campaign,budget_increase,budget_decrease
2024-01-20,GN,2024-01-18,2024-01-26,8,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,100,9,56,4,8,1.62,5,1.7555555555555555,1.58,0.160714,0.9753086419753086,0.1755555555555555,28.928571429,0.18,0.316,0.324,-0.04,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,100.0,False,True,False,False
2024-01-21,GN,2024-01-18,2024-01-26,8,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,100,9,76,2,10,1.93,3,1.0,0.9,0.118421,0.4663212435233161,0.1,25.394736842,0.214444444444,0.3,0.643333333333,-1.0299999999999998,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,100.0,False,True,False,False
2024-01-22,GN,2024-01-18,2024-01-26,8,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,100,13,75,5,14,1.91,6,1.4666666666666666,1.32,0.173333,0.6910994764397906,0.1015384615384615,25.466666667,0.146923076923,0.22,0.318333333333,-0.5899999999999999,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,100.0,False,True,False,False
2024-01-23,GN,2024-01-18,2024-01-26,8,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,100,16,63,6,15,1.1,9,2.466666666666667,2.22,0.253968,2.018181818181818,0.13875,17.46031746,0.06875,0.2466666666666667,0.122222222222,1.12,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,100.0,False,True,False,False
2024-01-24,GN,2024-01-18,2024-01-26,8,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,100,13,99,3,11,1.81,12,1.1888888888888889,1.07,0.131313,0.5911602209944752,0.0823076923076923,18.282828283,0.139230769231,0.0891666666666666,0.150833333333,-0.74,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,100.0,False,True,False,False
2024-01-25,GN,2024-01-18,2024-01-26,8,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,100,17,140,7,17,3.59,9,2.111111111111111,1.9,0.121429,0.5292479108635098,0.1117647058823529,25.642857143,0.211176470588,0.2111111111111111,0.398888888889,-1.69,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,100.0,False,True,False,False
2024-01-26,GN,2024-01-18,2024-01-26,8,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,100,10,72,5,10,1.68,8,1.1555555555555554,1.04,0.138889,0.6190476190476191,0.104,23.333333333,0.168,0.13,0.21,-0.6399999999999999,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,100.0,False,True,False,False
2024-01-18,GN,2024-01-18,2024-01-24,6,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425100410,batch_01|TEST_5|20240117|Ad1,120203732421730410,batch_01|TEST_5|20240117|Adset1,120203732421600410,batch_01|TEST_5|20240117|Weight Loss Shots,final,119,5,107,3,5,1.81,2,2.055555555555556,1.85,0.046729,1.022099447513812,0.37,16.91588785,0.362,0.925,0.905,0.0399999999999998,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,119.0,False,True,False,False
2024-01-20,GN,2024-01-18,2024-01-24,6,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425100410,batch_01|TEST_5|20240117|Ad1,120203732421730410,batch_01|TEST_5|20240117|Adset1,120203732421600410,batch_01|TEST_5|20240117|Weight Loss Shots,final,119,12,87,3,12,1.81,6,3.2666666666666666,2.94,0.137931,1.6243093922651932,0.245,20.804597701,0.150833333333,0.49,0.301666666667,1.13,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,119.0,False,True,False,False
2024-01-21,GN,2024-01-18,2024-01-24,6,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425100410,batch_01|TEST_5|20240117|Ad1,120203732421730410,batch_01|TEST_5|20240117|Adset1,120203732421600410,batch_01|TEST_5|20240117|Weight Loss Shots,final,119,6,94,3,7,1.98,4,2.3777777777777778,2.14,0.06383,1.0808080808080809,0.3566666666666667,21.063829787,0.33,0.535,0.495,0.1600000000000001,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,238.0,False,True,True,False
